站点名称,主办单位名称,网站名称,目标地址,目标AS域,下行流量,上行流量,总流量
downs.doufile.com,,,88.99.59.108,其他国家,316.585M,15.288M,331.873M
aqv.hicloud.com,,,118.194.35.16,中国,310.365M,18.491M,328.856M
60.5.240.44:12300,,,60.5.240.44,河北省联通,315.978M,12.119M,328.097M
122.137.230.6:49155,,,122.137.230.6,吉林省联通,318.647M,8.693M,327.34M
222.162.187.35:49155,,,222.162.187.35,吉林省联通,320.347M,4.641M,324.989M
211.91.244.166,,,211.91.244.166,湖南省联通,283.422M,39.759M,323.18M
119.116.171.214:480,,,119.116.171.214,辽宁省联通,300.243M,18.583M,318.826M
139.208.9.96:49155,,,139.208.9.96,吉林省联通,306.242M,5.982M,312.224M
mugc.music.tc.qq.com,,,210.76.57.180,黑龙江省联通,296.692M,13.388M,310.079M
developers.google.cn,,,203.208.41.98,北京市Google中国,148.432M,160.697M,309.129M
125.39.132.120,,,125.39.132.120,天津市联通,293.17M,15.131M,308.301M
1tv.gscdn.kbs.co.kr,,,54.230.86.66,美国,275.444M,28.753M,304.197M
www.google.cn,,,203.208.41.34,北京市Google中国,146.692M,157.289M,303.98M
139.215.126.232:49155,,,139.215.126.232,吉林省联通,279.892M,22.053M,301.945M
imgcdn.lnedna.cn,,,61.167.55.237,黑龙江省联通,297.687M,3.208M,300.894M
210.22.245.55,,,210.22.245.55,上海市联通,295.617M,4.089M,299.706M
116.199.5.51:8114,,,116.199.5.51,广东省广州市珠江宽频,282.024M,17.358M,299.382M
211.91.244.169,,,211.91.244.169,湖南省联通,262.332M,36.404M,298.737M
vipxz.bocai-zuida.com,,,23.224.177.188,其他国家,290.472M,8.005M,298.477M
cxcnd.kuwo.cn,,,122.136.191.202,吉林省联通,293.672M,4.405M,298.077M
p1-tt-ipv6.byteimg.com,,,117.12.41.16,天津市联通,292.369M,3.059M,295.428M
level3.blizzard.com,,,67.27.41.254,美国,267.885M,24.192M,292.077M
v29.huoshanvod.com,,,123.135.106.251,山东省联通,273.783M,15.445M,289.228M
pic.fangfu1688.com,,,104.18.59.202,其他国家,277.697M,9.994M,287.691M
119.49.122.109:49155,,,119.49.122.109,吉林省联通,274.609M,13.037M,287.646M
211.91.244.162,,,211.91.244.162,湖南省联通,255.751M,31.837M,287.588M
139.208.106.229:49155,,,139.208.106.229,吉林省联通,276.6M,9.881M,286.48M
v5-tt.ixigua.com,,,116.162.51.97,北京市联通,278.56M,6.474M,285.035M
222.162.185.139:49155,,,222.162.185.139,吉林省联通,273.538M,8.691M,282.229M
gift.s3.huajiao.com,,,119.36.33.85,湖北省联通,268.367M,12.144M,280.512M
tx-adaptive.pull.yximgs.com,,,1.189.177.247,黑龙江省联通,261.587M,16.456M,278.043M
1.down.vbgpnp5.cn:8027,,,112.132.249.50,安徽省联通,272.847M,4.307M,277.154M
c2.pcs.baidu.com,,,119.167.143.25,山东省联通,10.898M,264.25M,275.148M
139.208.108.98:49155,,,139.208.108.98,吉林省联通,266.936M,7.727M,274.664M
mazuburst-wifi.3g.qq.com,,,58.251.106.151,广东省联通,11.246M,258.06M,269.306M
dldir1.qq.com,,,210.76.57.241,黑龙江省联通,255.972M,13.146M,269.117M
221.8.206.103:2080,,,221.8.206.103,吉林省联通,261.132M,7.407M,268.539M
www.bing.com,,,202.89.233.100,北京市海淀BGP多线,259.571M,7.415M,266.986M
64.32.31.12,,,64.32.31.12,美国,249.772M,16.822M,266.594M
rmpad.imtt.qq.com,,,222.162.104.214,吉林省联通,253.596M,12.179M,265.776M
119.49.217.114:49155,,,119.49.217.114,吉林省联通,250.909M,12.372M,263.281M
down.game.qq.com,,,111.206.15.101,北京市联通,253.186M,9.793M,262.979M
119.49.154.147:49155,,,119.49.154.147,吉林省联通,249.802M,12.056M,261.859M
download.windowsupdate.com:1786,,,42.157.196.215,北京市,254.033M,6.852M,260.885M
122.137.51.244:49155,,,122.137.51.244,吉林省联通,246.69M,13.85M,260.54M
182.18.83.78,,,182.18.83.78,北京市联通,246.855M,12.591M,259.446M
122.137.48.180:49155,,,122.137.48.180,吉林省联通,249.198M,8.768M,257.966M
51.255.65.234,,,51.255.65.234,其他国家,248.376M,9.49M,257.866M
139.208.104.56:49155,,,139.208.104.56,吉林省联通,253.554M,3.755M,257.309M
p6-tt-ipv6.byteimg.com,,,139.215.135.123,吉林省联通,254.409M,2.838M,257.247M
704-6.vod.tv.itc.cn,,,101.28.249.188,河北省联通,250.165M,6.325M,256.49M
get.sogou.com,,,49.7.115.35,北京市,108.618M,147.13M,255.749M
119.50.111.205:49155,,,119.50.111.205,吉林省联通,251.768M,3.881M,255.649M
pcdownyf.titan.mgtv.com,,,182.18.83.67,北京市联通,238.193M,16.482M,254.675M
107.148.243.165:60001,,,107.148.243.165,其他国家,225.853M,28.187M,254.041M
139.208.114.200:49155,,,139.208.114.200,吉林省联通,248.035M,5.763M,253.797M
v5-hs.ixigua.com,,,221.206.205.105,黑龙江省联通,239.761M,12.875M,252.636M
139.208.104.107:49155,,,139.208.104.107,吉林省联通,237.281M,13.773M,251.054M
szextshort.weixin.qq.com,,,163.177.81.139,广东省联通,182.746M,68.1M,250.846M
139.208.10.252:49155,,,139.208.10.252,吉林省联通,245.471M,4.811M,250.282M
i.gtimg.cn,,,1.31.108.213,内蒙古联通,239.899M,9.47M,249.369M
119.49.218.23:49155,,,119.49.218.23,吉林省联通,239.737M,9.316M,249.053M
58.247.204.58,,,58.247.204.58,上海市联通,11.839M,236.921M,248.761M
msg.ptqy.gitv.tv,,,61.135.173.156,北京市联通,60.585M,183.065M,243.65M
103.85.85.155:1333,,,103.85.85.155,其他国家,218.816M,24.041M,242.857M
122.136.160.151:49155,,,122.136.160.151,吉林省联通,237.26M,5.186M,242.446M
