设备地址,站点名称,目标地址,目标AS域,下行流量,上行流量,总流量,下行流量-新,上行流量-新,总流量-新
,111.231.118.105:8106,111.231.118.105,湖北省,0,21.047K,21.047K,0G,2.1047e-05G,2.1047e-05G
,cls.hyc.51.com,49.233.102.125,北京市教育信息网,0,21.038K,21.038K,0G,2.1038e-05G,2.1038e-05G
,121.51.64.182,121.51.64.182,腾讯,2.956K,18.04K,20.996K,2.9559999999999997e-06G,1.804e-05G,2.0995999999999997e-05G
,res.ncdz.qq.com,182.254.48.38,腾讯,790,20.202K,20.992K,7.900000000000001e-07G,2.0202e-05G,2.0992e-05G
,www.qianyix.com,123.206.55.34,腾讯,0,20.955K,20.955K,0G,2.0955e-05G,2.0955e-05G
,129.211.154.218:7110,129.211.154.218,美国,6.737K,14.199K,20.936K,6.737e-06G,1.4198999999999999e-05G,2.0936e-05G
,index.taoeku.cn,182.254.59.207,腾讯,0,20.929K,20.929K,0G,2.0929e-05G,2.0929e-05G
,www.qu.cn,182.254.59.158,腾讯,0,20.922K,20.922K,0G,2.0922e-05G,2.0922e-05G
,novel.c5m93.cn,140.143.212.229,河南省郑州市景安计算机网络,0,20.914K,20.914K,0G,2.0914000000000003e-05G,2.0914000000000003e-05G
,idc.ip138.com,118.89.32.223,腾讯,1.723K,19.189K,20.912K,1.723e-06G,1.9189000000000002e-05G,2.0912e-05G
,juice.luohenghuanbao.cn,106.54.143.169,北京市北龙中网,0,20.888K,20.888K,0G,2.0888e-05G,2.0888e-05G
,gameapp.37.com,193.112.238.47,其他国家,4.599K,16.286K,20.885K,4.5989999999999995e-06G,1.6286000000000003e-05G,2.0885e-05G
,config-api.nubia.com,129.211.156.82,美国,4.211K,16.664K,20.875K,4.211e-06G,1.6664000000000002e-05G,2.0875000000000003e-05G
,49.234.162.15,49.234.162.15,北京市教育信息网,0,20.833K,20.833K,0G,2.0833e-05G,2.0833e-05G
,vplay.ymatou.com,121.51.42.205,腾讯,13.486K,7.336K,20.822K,1.3486000000000001e-05G,7.3360000000000006e-06G,2.0822e-05G
,down.dyingame.com,182.254.59.207,腾讯,64,20.741K,20.805K,6.399999999999999e-08G,2.0741e-05G,2.0805e-05G
,t.yangkeduo.,111.231.149.181,湖北省,0,20.736K,20.736K,0G,2.0736e-05G,2.0736e-05G
,s.xiaohongshu.com,182.254.49.93,腾讯,0,20.733K,20.733K,0G,2.0733000000000003e-05G,2.0733000000000003e-05G
,apd-82cb731adc411313ffef07c4a1729a0f.v.smtcdns.com,182.254.52.168,腾讯,14.25K,6.47K,20.72K,1.425e-05G,6.47e-06G,2.0719999999999998e-05G
,mitu-alli8.huluwa.hoolai.com,175.24.143.80,河北省任丘市华北石油通信公司,0,20.711K,20.711K,0G,2.0711e-05G,2.0711e-05G
,images.dangdang.com,182.254.53.176,腾讯,0,20.71K,20.71K,0G,2.071e-05G,2.071e-05G
,pcvideochuangcdn,182.254.90.165,腾讯,8.509K,12.174K,20.683K,8.509000000000001e-06G,1.2173999999999999e-05G,2.0683e-05G
